unique_id,ds,y
1,11/23/23 0:00,1.08
1,11/23/23 1:00,1.27
1,11/23/23 2:00,0.9
1,11/23/23 3:00,1.09
1,11/23/23 4:00,0.91
1,11/23/23 5:00,1.01
1,11/23/23 6:00,0.66
1,11/23/23 7:00,0.56
1,11/23/23 8:00,0.56
1,11/23/23 9:00,0.55
1,11/23/23 10:00,0.48
1,11/23/23 11:00,0.47
1,11/23/23 12:00,0.51
1,11/23/23 13:00,0.48
1,11/23/23 14:00,0.76
1,11/23/23 15:00,0.73
1,11/23/23 16:00,0.66
1,11/23/23 17:00,0.86
1,11/23/23 18:00,0.96
1,11/23/23 19:00,0.88
1,11/23/23 20:00,0.87
1,11/23/23 21:00,0.83
1,11/23/23 22:00,1.08
1,11/23/23 23:00,0.78
1,11/24/23 0:00,0.59
1,11/24/23 1:00,0.64
1,11/24/23 2:00,0.7
1,11/24/23 3:00,0.69
1,11/24/23 4:00,0.74
1,11/24/23 5:00,0.66
1,11/24/23 6:00,0.59
1,11/24/23 7:00,0.63
1,11/24/23 8:00,0.62
1,11/24/23 9:00,0.57
1,11/24/23 10:00,0.61
1,11/24/23 11:00,0.99
1,11/24/23 12:00,0.72
1,11/24/23 13:00,0.58
1,11/24/23 14:00,0.68
1,11/24/23 15:00,0.77
1,11/24/23 16:00,0.67
1,11/24/23 17:00,0.64
1,11/24/23 18:00,0.65
1,11/24/23 19:00,0.71
1,11/24/23 20:00,0.7
1,11/24/23 21:00,1.09
1,11/24/23 22:00,1.11
1,11/24/23 23:00,0.71
1,11/25/23 0:00,0.53
1,11/25/23 1:00,0.67
1,11/25/23 2:00,0.95
1,11/25/23 3:00,0.66
1,11/25/23 4:00,0.63
1,11/25/23 5:00,0.71
1,11/25/23 6:00,0.87
1,11/25/23 7:00,0.83
1,11/25/23 8:00,0.68
1,11/25/23 9:00,0.71
1,11/25/23 10:00,0.45
1,11/25/23 11:00,0.45
1,11/25/23 12:00,0.46
1,11/25/23 13:00,0.57
1,11/25/23 14:00,0.56
1,11/25/23 15:00,0.55
1,11/25/23 16:00,0.65
1,11/25/23 17:00,0.59
1,11/25/23 18:00,1.07
1,11/25/23 19:00,0.64
1,11/25/23 20:00,0.94
1,11/25/23 21:00,1.42
1,11/25/23 22:00,1.08
1,11/25/23 23:00,1.15
1,11/26/23 0:00,0.96
1,11/26/23 1:00,0.72
1,11/26/23 2:00,0.68
1,11/26/23 3:00,1.14
1,11/26/23 4:00,1.14
1,11/26/23 5:00,0.7
1,11/26/23 6:00,0.67
1,11/26/23 7:00,0.53
1,11/26/23 8:00,0.54
1,11/26/23 9:00,0.54
1,11/26/23 10:00,0.56
1,11/26/23 11:00,0.54
1,11/26/23 12:00,0.54
1,11/26/23 13:00,0.54
1,11/26/23 14:00,0.7
1,11/26/23 15:00,0.9
1,11/26/23 16:00,0.78
1,11/26/23 17:00,1.01
1,11/26/23 18:00,0.75
1,11/26/23 19:00,1.32
1,11/26/23 20:00,1.33
1,11/26/23 21:00,0.95
1,11/26/23 22:00,0.65
1,11/26/23 23:00,1.56
1,11/27/23 0:00,1.13
1,11/27/23 1:00,1.17
1,11/27/23 2:00,1.67
1,11/27/23 3:00,0.99
1,11/27/23 4:00,0.79
1,11/27/23 5:00,0.68
1,11/27/23 6:00,0.58
1,11/27/23 7:00,0.92
1,11/27/23 8:00,1
1,11/27/23 9:00,0.96
1,11/27/23 10:00,0.91
1,11/27/23 11:00,0.92
1,11/27/23 12:00,0.92
1,11/27/23 13:00,0.79
1,11/27/23 14:00,0.69
1,11/27/23 15:00,0.76
1,11/27/23 16:00,0.77
1,11/27/23 17:00,1.01
1,11/27/23 18:00,0.7
1,11/27/23 19:00,0.72
1,11/27/23 20:00,0.75
1,11/27/23 21:00,0.73
1,11/27/23 22:00,0.67
1,11/27/23 23:00,0.83
1,11/28/23 0:00,0.77
1,11/28/23 1:00,0.73
1,11/28/23 2:00,0.57
1,11/28/23 3:00,0.74
1,11/28/23 4:00,0.68
1,11/28/23 5:00,0.8
1,11/28/23 6:00,0.74
1,11/28/23 7:00,0.71
1,11/28/23 8:00,0.58
1,11/28/23 9:00,0.59
1,11/28/23 10:00,0.62
1,11/28/23 11:00,0.74
1,11/28/23 12:00,0.65
1,11/28/23 13:00,0.66
1,11/28/23 14:00,0.67
1,11/28/23 15:00,0.85
1,11/28/23 16:00,0.9
1,11/28/23 17:00,0.8
1,11/28/23 18:00,0.86
1,11/28/23 19:00,0.75
1,11/28/23 20:00,0.6
1,11/28/23 21:00,0.57
1,11/28/23 22:00,0.73
1,11/28/23 23:00,1.17
1,11/29/23 0:00,0.87
1,11/29/23 1:00,0.9
1,11/29/23 2:00,0.88
1,11/29/23 3:00,0.85
1,11/29/23 4:00,0.86
1,11/29/23 5:00,0.86
1,11/29/23 6:00,0.59
1,11/29/23 7:00,0.64
1,11/29/23 8:00,0.6
1,11/29/23 9:00,0.63
1,11/29/23 10:00,0.7
1,11/29/23 11:00,0.77
1,11/29/23 12:00,0.78
1,11/29/23 13:00,0.79
1,11/29/23 14:00,0.71
1,11/29/23 15:00,0.72
1,11/29/23 16:00,0.98
1,11/29/23 17:00,0.73
1,11/29/23 18:00,0.63
1,11/29/23 19:00,0.6
1,11/29/23 20:00,0.49
1,11/29/23 21:00,0.49
1,11/29/23 22:00,0.5
1,11/29/23 23:00,0.76
1,11/30/23 0:00,0.81
1,11/30/23 1:00,0.84
1,11/30/23 2:00,0.7
1,11/30/23 3:00,0.84
1,11/30/23 4:00,0.94
1,11/30/23 5:00,0.87
1,11/30/23 6:00,0.81
1,11/30/23 7:00,0.74
1,11/30/23 8:00,0.7
1,11/30/23 9:00,0.79
1,11/30/23 10:00,0.79
1,11/30/23 11:00,0.63
1,11/30/23 12:00,0.6
1,11/30/23 13:00,0.52
1,11/30/23 14:00,0.52
1,11/30/23 15:00,0.6
1,11/30/23 16:00,0.64
1,11/30/23 17:00,0.64
1,11/30/23 18:00,0.49
1,11/30/23 19:00,1.8
1,11/30/23 20:00,1.21
1,11/30/23 21:00,0.59
1,11/30/23 22:00,0.68
1,11/30/23 23:00,0.63
1,12/1/23 0:00,0.6
1,12/1/23 1:00,0.74
1,12/1/23 2:00,0.8
1,12/1/23 3:00,1.08
1,12/1/23 4:00,0.61
1,12/1/23 5:00,0.53
1,12/1/23 6:00,0.54
1,12/1/23 7:00,0.72
1,12/1/23 8:00,0.58
1,12/1/23 9:00,0.56
1,12/1/23 10:00,0.48
1,12/1/23 11:00,0.5
1,12/1/23 12:00,0.52
1,12/1/23 13:00,0.51
1,12/1/23 14:00,0.6
1,12/1/23 15:00,0.49
1,12/1/23 16:00,0.52
1,12/1/23 17:00,0.68
1,12/1/23 18:00,0.54
1,12/1/23 19:00,0.48
1,12/1/23 20:00,0.47
1,12/1/23 21:00,0.47
1,12/1/23 22:00,0.49
1,12/1/23 23:00,0.45
1,12/2/23 0:00,0.49
1,12/2/23 1:00,0.44
1,12/2/23 2:00,0.57
1,12/2/23 3:00,0.45
1,12/2/23 4:00,0.58
1,12/2/23 5:00,0.65
1,12/2/23 6:00,0.69
1,12/2/23 7:00,0.77
1,12/2/23 8:00,0.59
1,12/2/23 9:00,0.64
1,12/2/23 10:00,0.69
1,12/2/23 11:00,0.59
1,12/2/23 12:00,0.63
1,12/2/23 13:00,0.7
1,12/2/23 14:00,0.62
1,12/2/23 15:00,0.65
1,12/2/23 16:00,0.69
1,12/2/23 17:00,0.76
1,12/2/23 18:00,0.62
1,12/2/23 19:00,0.77
1,12/2/23 20:00,0.7
1,12/2/23 21:00,0.66
1,12/2/23 22:00,0.63
1,12/2/23 23:00,0.69
1,12/3/23 0:00,1.62
1,12/3/23 1:00,0.97
1,12/3/23 2:00,0.91
1,12/3/23 3:00,0.72
1,12/3/23 4:00,1.14
1,12/3/23 5:00,1.39
1,12/3/23 6:00,0.78
1,12/3/23 7:00,0.66
1,12/3/23 8:00,0.63
1,12/3/23 9:00,0.62
1,12/3/23 10:00,0.55
1,12/3/23 11:00,0.62
1,12/3/23 12:00,0.58
1,12/3/23 13:00,0.6
1,12/3/23 14:00,0.54
1,12/3/23 15:00,0.67
1,12/3/23 16:00,0.57
1,12/3/23 17:00,0.52
1,12/3/23 18:00,0.57
1,12/3/23 19:00,0.64
1,12/3/23 20:00,0.62
1,12/3/23 21:00,0.68
1,12/3/23 22:00,0.73
1,12/3/23 23:00,0.76
1,12/4/23 0:00,0.92
1,12/4/23 1:00,0.57
1,12/4/23 2:00,0.64
1,12/4/23 3:00,0.66
1,12/4/23 4:00,0.8
1,12/4/23 5:00,0.68
1,12/4/23 6:00,0.68
1,12/4/23 7:00,0.57
1,12/4/23 8:00,0.56
1,12/4/23 9:00,0.56
1,12/4/23 10:00,0.53
1,12/4/23 11:00,0.51
1,12/4/23 12:00,0.5
1,12/4/23 13:00,0.56
1,12/4/23 14:00,0.55
1,12/4/23 15:00,0.59
1,12/4/23 16:00,0.78
1,12/4/23 17:00,0.61
1,12/4/23 18:00,0.74
1,12/4/23 19:00,0.76
1,12/4/23 20:00,0.76
1,12/4/23 21:00,0.66
1,12/4/23 22:00,0.79
1,12/4/23 23:00,0.78
1,12/5/23 0:00,1.32
1,12/5/23 1:00,0.85
1,12/5/23 2:00,1.09
1,12/5/23 3:00,0.73
1,12/5/23 4:00,0.83
1,12/5/23 5:00,0.74
1,12/5/23 6:00,0.8
1,12/5/23 7:00,0.53
1,12/5/23 8:00,0.49
1,12/5/23 9:00,0.51
1,12/5/23 10:00,0.47
1,12/5/23 11:00,0.45
1,12/5/23 12:00,0.46
1,12/5/23 13:00,0.45
1,12/5/23 14:00,0.5
1,12/5/23 15:00,0.52
1,12/5/23 16:00,0.8
1,12/5/23 17:00,0.7
1,12/5/23 18:00,1.51
1,12/5/23 19:00,0.78
1,12/5/23 20:00,0.67
1,12/5/23 21:00,0.58
1,12/5/23 22:00,0.86
1,12/5/23 23:00,0.86
1,12/6/23 0:00,1.4
1,12/6/23 1:00,0.86
1,12/6/23 2:00,2.06
1,12/6/23 3:00,0.94
1,12/6/23 4:00,1.08
1,12/6/23 5:00,0.93
1,12/6/23 6:00,0.92
1,12/6/23 7:00,0.64
1,12/6/23 8:00,0.62
1,12/6/23 9:00,0.63
1,12/6/23 10:00,0.65
1,12/6/23 11:00,0.68
1,12/6/23 12:00,0.66
1,12/6/23 13:00,0.61
1,12/6/23 14:00,0.66
1,12/6/23 15:00,0.58
1,12/6/23 16:00,0.67
1,12/6/23 17:00,0.64
1,12/6/23 18:00,0.9
1,12/6/23 19:00,0.75
1,12/6/23 20:00,1.1
1,12/6/23 21:00,0.88
1,12/6/23 22:00,0.8
1,12/6/23 23:00,1.06
1,12/7/23 0:00,0.93
1,12/7/23 1:00,0.94
1,12/7/23 2:00,1.23
1,12/7/23 3:00,0.88
1,12/7/23 4:00,0.89
1,12/7/23 5:00,1.05
1,12/7/23 6:00,0.81
1,12/7/23 7:00,0.79
1,12/7/23 8:00,0.7
1,12/7/23 9:00,0.75
1,12/7/23 10:00,0.59
1,12/7/23 11:00,0.7
1,12/7/23 12:00,0.66
1,12/7/23 13:00,0.64
1,12/7/23 14:00,0.59
1,12/7/23 15:00,0.62
1,12/7/23 16:00,0.65
1,12/7/23 17:00,1.43
1,12/7/23 18:00,0.83
1,12/7/23 19:00,0.81
1,12/7/23 20:00,0.86
1,12/7/23 21:00,0.96
1,12/7/23 22:00,0.75
1,12/7/23 23:00,0.75
1,12/8/23 0:00,0.74
1,12/8/23 1:00,0.93
1,12/8/23 2:00,1.29
1,12/8/23 3:00,1.08
1,12/8/23 4:00,1.42
1,12/8/23 5:00,0.86
1,12/8/23 6:00,0.73
1,12/8/23 7:00,0.67
1,12/8/23 8:00,1
1,12/8/23 9:00,1.02
1,12/8/23 10:00,0.66
1,12/8/23 11:00,0.56
1,12/8/23 12:00,0.65
1,12/8/23 13:00,0.57
1,12/8/23 14:00,0.6
1,12/8/23 15:00,0.64
1,12/8/23 16:00,0.57
1,12/8/23 17:00,0.58
1,12/8/23 18:00,0.7
1,12/8/23 19:00,0.62
1,12/8/23 20:00,0.67
1,12/8/23 21:00,0.57
1,12/8/23 22:00,0.7
1,12/8/23 23:00,0.67
1,12/9/23 0:00,0.81
1,12/9/23 1:00,0.84
1,12/9/23 2:00,0.68
1,12/9/23 3:00,0.69
1,12/9/23 4:00,0.66
1,12/9/23 5:00,0.62
1,12/9/23 6:00,0.74
1,12/9/23 7:00,0.61
1,12/9/23 8:00,0.49
1,12/9/23 9:00,0.52
1,12/9/23 10:00,0.56
1,12/9/23 11:00,0.57
1,12/9/23 12:00,0.5
1,12/9/23 13:00,0.49
1,12/9/23 14:00,0.6
1,12/9/23 15:00,0.6
1,12/9/23 16:00,0.82
1,12/9/23 17:00,0.78
1,12/9/23 18:00,0.72
1,12/9/23 19:00,0.85
1,12/9/23 20:00,0.65
1,12/9/23 21:00,0.64
1,12/9/23 22:00,0.68
1,12/9/23 23:00,0.6
1,12/10/23 0:00,0.97
1,12/10/23 1:00,1.54
1,12/10/23 2:00,0.62
1,12/10/23 3:00,0.53
1,12/10/23 4:00,0.44
1,12/10/23 5:00,0.51
1,12/10/23 6:00,0.64
1,12/10/23 7:00,0.61
1,12/10/23 8:00,0.58
1,12/10/23 9:00,0.54
1,12/10/23 10:00,0.66
1,12/10/23 11:00,0.61
1,12/10/23 12:00,0.67
1,12/10/23 13:00,0.64
1,12/10/23 14:00,0.59
1,12/10/23 15:00,0.71
1,12/10/23 16:00,0.75
1,12/10/23 17:00,0.79
1,12/10/23 18:00,0.79
1,12/10/23 19:00,1.03
1,12/10/23 20:00,0.67
1,12/10/23 21:00,0.68
1,12/10/23 22:00,0.78
1,12/10/23 23:00,0.94
1,12/11/23 0:00,0.58
1,12/11/23 1:00,0.63
1,12/11/23 2:00,0.52
1,12/11/23 3:00,0.82
1,12/11/23 4:00,0.72
1,12/11/23 5:00,0.78
1,12/11/23 6:00,0.66
1,12/11/23 7:00,0.73
1,12/11/23 8:00,0.66
1,12/11/23 9:00,0.85
1,12/11/23 10:00,0.84
1,12/11/23 11:00,0.7
1,12/11/23 12:00,0.69
1,12/11/23 13:00,0.62
1,12/11/23 14:00,0.69
1,12/11/23 15:00,0.87
1,12/11/23 16:00,0.76
1,12/11/23 17:00,0.6
1,12/11/23 18:00,0.63
1,12/11/23 19:00,0.9
1,12/11/23 20:00,1.06
1,12/11/23 21:00,1.87
1,12/11/23 22:00,1.81
1,12/11/23 23:00,2.2
1,12/12/23 0:00,1.23
1,12/12/23 1:00,1.12
1,12/12/23 2:00,0.9
1,12/12/23 3:00,0.85
1,12/12/23 4:00,0.98
1,12/12/23 5:00,0.78
1,12/12/23 6:00,0.76
1,12/12/23 7:00,0.88
1,12/12/23 8:00,0.72
1,12/12/23 9:00,0.73
1,12/12/23 10:00,0.7
1,12/12/23 11:00,0.7
1,12/12/23 12:00,0.66
1,12/12/23 13:00,0.68
1,12/12/23 14:00,0.81
1,12/12/23 15:00,0.82
1,12/12/23 16:00,0.84
1,12/12/23 17:00,0.68
1,12/12/23 18:00,0.69
1,12/12/23 19:00,0.73
1,12/12/23 20:00,0.71
1,12/12/23 21:00,0.71
1,12/12/23 22:00,0.67
1,12/12/23 23:00,0.93
1,12/13/23 0:00,0.81
1,12/13/23 1:00,0.68
1,12/13/23 2:00,0.68
1,12/13/23 3:00,1.44
1,12/13/23 4:00,0.94
1,12/13/23 5:00,0.97
1,12/13/23 6:00,0.85
1,12/13/23 7:00,0.87
1,12/13/23 8:00,0.66
1,12/13/23 9:00,0.7
1,12/13/23 10:00,0.7
1,12/13/23 11:00,0.59
1,12/13/23 12:00,0.63
1,12/13/23 13:00,0.59
1,12/13/23 14:00,0.7
1,12/13/23 15:00,0.73
1,12/13/23 16:00,0.72
1,12/13/23 17:00,0.66
1,12/13/23 18:00,0.91
1,12/13/23 19:00,1.25
1,12/13/23 20:00,1.12
1,12/13/23 21:00,1.14
1,12/13/23 22:00,1.16
1,12/13/23 23:00,0.88
1,12/14/23 0:00,0.85
1,12/14/23 1:00,1.3
1,12/14/23 2:00,1.73
1,12/14/23 3:00,1.43
1,12/14/23 4:00,1
1,12/14/23 5:00,1
1,12/14/23 6:00,1.14
1,12/14/23 7:00,2.09
1,12/14/23 8:00,1.41
1,12/14/23 9:00,0.78
1,12/14/23 10:00,0.68
1,12/14/23 11:00,0.54
1,12/14/23 12:00,0.62
1,12/14/23 13:00,0.54
1,12/14/23 14:00,0.58
1,12/14/23 15:00,0.57
1,12/14/23 16:00,0.53
1,12/14/23 17:00,0.63
1,12/14/23 18:00,0.64
1,12/14/23 19:00,0.57
1,12/14/23 20:00,0.48
1,12/14/23 21:00,0.73
1,12/14/23 22:00,0.52
1,12/14/23 23:00,0.45
1,12/15/23 0:00,0.62
1,12/15/23 1:00,0.97
1,12/15/23 2:00,0.52
1,12/15/23 3:00,0.58
1,12/15/23 4:00,0.58
1,12/15/23 5:00,0.53
1,12/15/23 6:00,0.6
1,12/15/23 7:00,0.51
1,12/15/23 8:00,0.49
1,12/15/23 9:00,0.49
1,12/15/23 10:00,0.43
1,12/15/23 11:00,0.48
1,12/15/23 12:00,0.38
1,12/15/23 13:00,0.37
1,12/15/23 14:00,0.38
1,12/15/23 15:00,0.36
1,12/15/23 16:00,0.38
1,12/15/23 17:00,0.5
1,12/15/23 18:00,0.45
1,12/15/23 19:00,0.44
1,12/15/23 20:00,0.51
1,12/15/23 21:00,0.42
1,12/15/23 22:00,1.08
1,12/15/23 23:00,0.57
1,12/16/23 0:00,0.57
1,12/16/23 1:00,0.63
1,12/16/23 2:00,0.64
1,12/16/23 3:00,0.71
1,12/16/23 4:00,0.66
1,12/16/23 5:00,0.61
